"Post date","Post hour","Post minute","Page total likes","Type","Category","Paid"
20161015,4,45,135713,"Photo",1,0
20161028,11,48,135713,"Photo",2,0
20161014,4,6,135713,"Photo",2,1
20161006,10,34,135713,"Photo",1,0
20161020,1,27,135713,"Photo",2,0
20160907,7,22,135700,"Photo",2,0
20160906,11,35,135700,"Photo",2,0
20160927,2,5,135700,"Photo",3,0
20160912,10,20,135700,"Photo",2,0
20160912,3,10,135617,"Photo",2,1
20160925,9,4,135617,"Photo",3,0
20160904,3,42,135617,"Photo",2,0
20160910,10,34,135617,"Photo",3,0
20160924,4,33,135617,"Status",2,0
20160930,10,13,135428,"Photo",1,0
20160923,3,12,135428,"Photo",2,1
20160915,10,20,135428,"Photo",1,1
20160929,2,9,135428,"Photo",3,1
20160921,10,59,135428,"Photo",1,0
20160907,2,25,135428,"Photo",2,1
20160920,9,34,135195,"Photo",3,0
20160913,2,49,135195,"Photo",1,0
20160912,10,4,135195,"Status",2,0
20160919,4,30,135195,"Photo",1,0
20160925,3,31,135195,"Photo",2,0
20160910,10,46,135195,"Status",2,1
20160917,3,17,135195,"Photo",3,1
20160930,11,17,135195,"Photo",1,0
20160909,2,54,135195,"Photo",2,0
20160922,10,32,135195,"Photo",2,0
20160915,4,30,134879,"Status",2,1
20160914,10,54,134879,"Photo",1,0
20160921,2,32,134879,"Photo",3,1
20160913,10,56,134879,"Video",1,0
20160913,3,49,134879,"Photo",2,0
20160905,10,51,134879,"Photo",1,0
20160926,6,3,134879,"Photo",2,0
20160911,10,27,134879,"Photo",2,0
20160925,4,45,134879,"Photo",3,1
20160927,10,55,133679,"Photo",2,0
20160920,3,40,133679,"Photo",3,1
20160815,10,28,133679,"Photo",3,0
20160815,4,2,133679,"Photo",2,0
20160814,10,57,133594,"Photo",2,1
20160807,3,15,133594,"Photo",1,0
20160813,10,49,133594,"Photo",2,0
20160827,8,11,133594,"Photo",1,0
20160812,13,35,133594,"Photo",2,0
20160825,9,47,133451,"Photo",1,1
20160804,10,5,132817,"Photo",3,0
20160818,3,44,132817,"Photo",2,1
20160817,9,14,132817,"Photo",1,0
20160831,2,8,132817,"Status",2,1
20160816,10,44,132817,"Photo",3,0
20160809,3,41,132817,"Photo",3,0
20160822,12,9,132201,"Photo",1,1
20160815,3,37,132201,"Photo",1,0
20160821,10,7,132201,"Photo",2,0
20160821,3,28,132201,"Photo",3,0
20160813,10,51,132201,"Photo",2,1
20160813,3,7,132201,"Photo",3,1
20160819,10,40,132201,"Photo",3,0
20160812,1,11,132201,"Photo",2,0
20160825,11,12,132201,"Photo",3,1
20160818,3,11,132201,"Photo",3,1
20160824,10,6,131956,"Photo",1,0
20160803,4,29,131956,"Photo",2,0
20160823,12,41,131956,"Status",2,0
20160809,7,51,131956,"Photo",1,0
20160815,12,28,131956,"Photo",3,0
20160801,4,36,131956,"Photo",2,0
20160814,10,46,131956,"Photo",3,0
20160807,4,20,131808,"Status",2,0
20160806,10,46,131808,"Status",2,1
20160827,6,55,131808,"Photo",1,0
20160729,14,52,131808,"Status",2,0
20160708,8,34,131728,"Photo",3,1
20160714,10,4,131728,"Photo",1,1
20160721,3,10,131728,"Photo",2,0
20160713,13,29,131630,"Photo",2,0
20160719,23,19,131630,"Photo",3,0
20160705,13,50,131630,"Photo",3,0
20160719,6,27,131630,"Status",2,1
20160725,11,44,131630,"Photo",1,0
20160718,5,20,131630,"Photo",2,0
20160731,10,55,131300,"Status",2,0
20160731,4,26,131300,"Photo",3,0
20160723,10,11,131300,"Photo",2,0
20160730,2,39,131300,"Photo",1,0
20160708,11,3,130791,"Photo",2,1
20160708,3,5,130791,"Photo",3,0
20160728,11,13,130791,"Photo",1,0
20160728,6,21,130791,"Status",2,0
20160727,11,4,130791,"Video",1,1
20160713,5,44,130791,"Photo",2,1
20160712,13,31,130791,"Photo",1,0
20160712,8,14,130791,"Photo",2,0
20160711,12,20,129600,"Photo",2,0
20160704,6,55,129600,"Photo",3,0
20160731,11,1,129600,"Photo",2,1
20160717,6,22,129600,"Photo",1,1
20160723,11,13,129600,"Photo",1,0
20160730,5,38,129600,"Photo",3,0
20160708,12,13,129600,"Status",2,1
20160729,3,45,129600,"Photo",3,0
20160728,12,13,129600,"Photo",2,1
20160728,6,55,129600,"Photo",1,1
20160706,13,12,129600,"Photo",1,1
20160727,1,21,129600,"Photo",2,0
20160712,13,14,129600,"Photo",3,0
20160712,7,33,129600,"Photo",2,1
20160725,13,43,129600,"Photo",1,0
20160704,3,1,128032,"Photo",2,0
20160703,11,46,128032,"Photo",2,1
20160710,3,59,128032,"Photo",3,0
20160723,13,44,128032,"Photo",3,1
20160730,3,43,128032,"Photo",1,0
20160708,10,49,128032,"Status",2,0
20160715,3,36,128032,"Photo",1,0
20160714,9,49,128032,"Photo",1,1
20160707,5,43,128032,"Photo",2,1
20160713,10,25,128032,"Photo",1,1
20160713,3,25,127082,"Photo",1,1
20160728,12,47,126424,"Photo",3,0
20160721,3,42,126424,"Photo",2,0
20160713,13,56,126424,"Status",2,0
20160713,4,32,126424,"Photo",3,1
20160621,13,42,126424,"Video",1,0
20160607,9,50,126345,"Photo",1,1
20160607,3,44,126345,"Photo",1,0
20160606,12,52,126345,"Photo",2,0
20160606,4,2,126345,"Photo",2,0
20160626,11,18,126345,"Status",2,0
20160605,4,26,126141,"Photo",1,1
20160618,12,34,126141,"Photo",1,0
20160611,4,12,126141,"Status",2,0
20160617,11,44,126141,"Photo",1,1
20160616,22,48,126141,"Photo",1,1
20160616,12,43,126141,"Photo",1,0
20160602,11,34,125612,"Photo",1,0
20160630,7,40,125612,"Photo",1,0
20160609,3,33,125612,"Photo",2,0
20160615,11,49,125612,"Photo",1,0
20160615,3,28,125612,"Photo",2,0
20160607,13,28,125612,"Photo",1,0
20160607,2,13,125612,"Photo",1,0
20160627,14,33,125612,"Photo",3,0
20160627,3,7,125612,"Photo",3,0
20160626,11,7,125612,"Photo",2,0
20160619,4,32,124940,"Photo",1,0
20160625,9,38,124940,"Photo",2,0
20160618,2,31,124940,"Photo",3,1
20160624,13,6,124940,"Photo",1,1
20160624,3,8,124940,"Photo",3,1
20160630,12,20,124940,"Photo",1,0
20160616,2,54,124940,"Photo",3,0
20160608,13,6,124940,"Photo",2,0
20160601,3,36,124940,"Photo",3,1
20160621,13,45,124940,"Photo",3,0
20160607,3,11,124940,"Photo",3,0
20160620,13,17,124940,"Photo",1,0
20160613,3,37,124940,"Photo",3,0
20160619,10,45,124940,"Photo",3,0
20160605,3,59,124940,"Photo",3,1
20160625,12,38,124940,"Photo",1,1
20160604,4,50,124940,"Photo",3,0
20160624,12,16,123047,"Photo",3,0
20160617,3,23,123047,"Photo",2,0
20160623,13,18,123047,"Photo",3,0
20160623,5,46,123047,"Photo",2,1
20160615,11,19,123047,"Photo",1,0
20160621,13,53,123047,"Photo",3,0
20160614,5,39,123047,"Photo",3,1
20160606,10,46,123047,"Photo",3,0
20160606,3,26,123047,"Photo",3,1
20160606,3,19,121540,"Photo",3,0
20160501,14,2,121540,"Photo",2,0
20160520,9,7,120050,"Photo",3,1
20160519,12,24,120050,"Photo",3,0
20160526,4,23,120050,"Photo",3,1
20160504,12,19,120050,"Photo",3,0
20160504,5,44,119198,"Photo",3,0
20160524,12,40,119198,"Photo",3,0
20160531,1,15,119198,"Photo",3,0
20160509,2,54,119198,"Status",2,0
20160522,2,14,119198,"Photo",2,0
20160514,14,44,119198,"Photo",3,0
20160528,6,19,119198,"Photo",3,0
20160527,10,31,119198,"Photo",3,1
20160519,10,6,117764,"Photo",1,0
20160512,4,11,117764,"Photo",3,0
20160504,11,0,117764,"Photo",3,0
20160531,11,27,117764,"Photo",2,0
20160516,13,15,117764,"Photo",3,1
20160509,2,27,117764,"Link",1,0
20160522,13,27,117764,"Photo",3,1
20160508,2,23,117764,"Photo",3,0
20160521,13,30,117764,"Photo",3,0
20160521,8,3,117764,"Photo",3,1
20160527,13,48,117764,"Photo",3,0
20160506,9,58,116435,"Photo",2,0
20160505,13,10,116435,"Photo",3,1
20160519,3,34,116435,"Status",1,1
20160525,7,59,116435,"Photo",3,0
20160517,14,26,116435,"Photo",2,0
20160503,8,37,116435,"Photo",1,0
20160516,13,48,116435,"Photo",3,0
20160509,3,15,116091,"Photo",2,0
20160515,14,15,116091,"Photo",2,0
20160522,2,18,116091,"Photo",3,0
20160507,9,3,116091,"Photo",1,0
20160507,3,31,116091,"Photo",3,0
20160520,7,59,116091,"Status",2,0
20160428,15,44,115893,"Photo",3,1
20160413,13,15,115893,"Photo",1,0
20160406,8,55,115368,"Photo",3,0
20160412,13,41,115368,"Photo",3,0
20160405,2,37,115368,"Photo",3,1
20160425,2,30,115368,"Photo",1,0
20160410,3,47,113028,"Photo",2,1
20160416,14,17,113028,"Photo",1,0
20160409,3,49,113028,"Status",2,1
20160429,7,34,113028,"Link",1,1
20160429,5,5,113028,"Photo",1,0
20160428,12,9,113028,"Photo",1,1
20160428,7,46,111620,"Photo",3,1
20160413,7,39,111620,"Photo",3,0
20160426,13,15,111620,"Photo",3,1
20160412,6,15,111620,"Photo",1,1
20160404,14,56,111620,"Photo",3,1
20160424,14,3,111620,"Photo",1,0
20160402,20,55,109670,"Photo",3,0
20160402,13,38,109670,"Photo",1,0
20160409,3,50,109670,"Photo",3,0
20160422,13,41,109670,"Photo",1,0
20160408,7,29,109670,"Photo",3,1
20160428,3,13,109670,"Photo",1,0
20160406,13,19,109670,"Photo",1,1
20160420,8,19,109670,"Photo",1,0
20160419,13,18,109670,"Photo",1,0
20160426,2,4,109670,"Photo",3,1
20160425,13,53,109670,"Photo",2,1
20160404,2,6,109670,"Photo",1,0
20160403,14,20,109670,"Photo",3,0
20160410,13,19,107907,"Photo",3,0
20160409,9,10,107907,"Photo",1,0
20160416,3,3,107907,"Photo",3,1
20160401,9,50,107907,"Photo",1,0
20160415,3,47,107907,"Photo",3,0
20160407,13,12,107907,"Photo",3,0
20160414,5,54,107907,"Photo",3,1
20160420,13,50,107907,"Photo",1,1
20160420,4,27,107907,"Photo",1,1
20160426,6,3,107907,"Link",1,0
20160411,3,24,107907,"Photo",3,0
20160417,10,22,107907,"Photo",3,0
20160403,3,24,107907,"Photo",3,0
20160402,9,20,106928,"Photo",3,1
20160409,4,28,106928,"Link",1,0
20160401,13,55,106928,"Photo",2,0
20160429,3,12,106928,"Photo",2,0
20160407,13,44,106928,"Photo",3,0
20160421,3,54,106928,"Photo",1,1
20160304,14,8,104070,"Photo",1,1
20160303,14,21,104070,"Photo",1,1
20160324,7,48,104070,"Photo",1,0
20160302,15,19,104070,"Status",1,0
20160323,10,58,104070,"Photo",1,0
20160309,10,43,102112,"Photo",1,0
20160330,4,56,102112,"Photo",1,0
20160301,12,12,102112,"Photo",1,0
20160308,3,57,102112,"Photo",1,0
20160307,19,17,102112,"Photo",1,0
20160328,18,25,102112,"Photo",1,0
20160307,18,16,102112,"Photo",1,0
20160321,3,36,102112,"Link",3,0
20160306,18,44,100732,"Photo",1,0
20160327,17,37,100732,"Photo",1,0
20160313,15,25,100732,"Photo",1,0
20160327,15,1,100732,"Photo",1,0
20160306,14,4,100732,"Link",1,0
20160306,12,5,100732,"Photo",1,0
20160326,17,48,100732,"Photo",1,0
20160305,17,46,100732,"Photo",1,0
20160305,15,36,100732,"Photo",1,0
20160305,15,4,100732,"Photo",1,0
20160305,13,28,100732,"Photo",1,1
20160319,10,25,100732,"Photo",1,0
20160319,6,3,98195,"Link",2,0
20160326,3,20,98195,"Photo",1,0
20160325,10,3,98195,"Photo",1,0
20160304,4,7,98195,"Photo",1,1
20160331,13,43,98195,"Photo",3,0
20160301,9,21,96749,"Photo",3,0
20160329,5,37,96749,"Photo",2,0
20160314,13,17,96749,"Photo",1,1
20160328,2,1,96749,"Photo",1,1
20160313,10,19,96749,"Photo",1,1
20160327,5,38,96749,"Photo",1,1
20160220,13,37,93684,"Photo",1,1
20160213,6,25,93577,"Photo",1,0
20160226,12,9,93470,"Photo",1,0
20160219,6,35,93363,"Photo",1,0
20160225,12,55,93256,"Photo",3,0
20160225,3,3,93149,"Photo",3,0
20160203,13,14,93042,"Photo",3,0
20160217,9,11,92935,"Photo",1,1
20160210,6,4,92828,"Photo",1,0
20160216,13,22,92721,"Photo",3,0
20160216,3,36,92614,"Photo",2,1
20160208,13,3,92507,"Photo",3,0
20160229,4,40,92400,"Photo",1,0
20160207,13,20,92293,"Photo",3,1
20160221,2,6,92186,"Photo",3,1
20160227,13,9,92079,"Photo",1,0
20160227,3,20,91972,"Photo",3,0
20160212,13,13,91865,"Photo",2,1
20160219,3,3,91758,"Photo",2,1
20160204,12,50,91651,"Photo",1,0
20160211,3,21,91544,"Photo",3,0
20160224,13,1,91437,"Link",1,0
20160210,3,49,91330,"Photo",3,0
20160209,13,6,91223,"Photo",1,0
20160216,4,32,91116,"Photo",3,1
20160229,12,43,91009,"Photo",1,0
20160130,16,22,86909,"Photo",3,1
20160116,10,55,86909,"Photo",1,1
20160123,4,25,86909,"Link",1,0
20160115,13,56,86909,"Photo",3,0
20160129,4,43,86909,"Photo",3,0
20160121,11,12,86909,"Photo",2,0
20160114,4,22,86491,"Link",1,1
20160106,10,56,86491,"Photo",3,0
20160106,3,34,86491,"Photo",2,0
20160119,7,46,86491,"Photo",3,0
20160119,2,8,86491,"Link",1,0
20160111,12,18,85979,"Photo",3,0
20160118,2,22,85979,"Photo",3,0
20160110,10,43,85979,"Photo",3,0
20160110,2,5,85979,"Photo",3,0
20160109,11,9,85979,"Photo",3,0
20160109,3,56,85979,"Photo",3,1
20160108,11,41,85979,"Link",1,0
20160104,2,23,85093,"Photo",3,0
20160131,10,28,85093,"Photo",3,0
20160110,2,1,85093,"Photo",3,0
20160129,8,39,81370,"Photo",2,0
20160108,2,58,81370,"Photo",1,0
20160128,11,27,81370,"Photo",3,0
20160121,4,35,81370,"Photo",2,NA
