"GameID","LeagueIndex","Age","HoursPerWeek","TotalHours","APM"
246,5,"19","6","550",106.4316
250,5,"23","8","700",68.6388
251,6,"23","40","2000",128.0802
256,6,"20","16","625",189.1506
257,3,"17","8","100",98.634
260,3,"35","14","1300",38.6472
263,2,"22","16","450",114.942
264,6,"16","28","750",211.0536
265,5,"21","10","350",77.7252
266,4,"28","6","1200",62.8314
267,5,"22","6","160",134.571
268,4,"31","10","400",119.232
272,4,"26","8","600",83.2656
280,4,"21","16","612",109.4994
281,5,"23","20","1300",110.7312
284,4,"25","4","180",107.4084
288,2,"32","10","400",53.8788
290,3,"31","12","300",72.0948
297,5,"18","6","180",162.4398
299,5,"21","20","1000",111.0876
301,5,"19","14","450",117.4128
302,5,"27","10","150",164.4894
305,6,"20","28","1600",195.1986
312,5,"17","28","730",116.2062
314,6,"17","14","300",207.576
316,5,"20","18","770",193.6086
318,5,"17","36","720",335.499
320,5,"19","8","500",188.76
321,3,"30","12","500",62.898
329,6,"24","24","1000",146.6856
333,2,"16","28","300",76.8504
336,4,"23","4","415",59.181
338,4,"31","4","500",100.4322
339,6,"16","20","500",157.9002
342,3,"22","10","200",87.2484
350,4,"16","14","150",130.4472
351,6,"22","24","1000",189.375
357,7,"21","24","1000",286.4538
361,6,"21","10","350",178.368
363,1,"33","4","120",68.6598
366,5,"23","12","500",136.5768
371,6,"25","10","400",262.611
378,3,"19","20","730",91.308
381,6,"23","20","1800",176.5188
383,6,"16","42","2200",209.8398
384,3,"22","40","480",108.4692
388,6,"18","10","430",166.902
389,4,"21","12","350",89.9394
392,4,"19","20","639",197.5674
393,6,"22","10","1000",91.866
394,5,"21","12","730",166.5636
396,3,"19","28","360",99.2874
398,7,"24","16","1250",216.6852
400,6,"21","24","750",130.5
401,3,"19","12","480",52.8438
403,5,"17","24","365",200.9172
407,5,"19","14","1000",144.6822
408,5,"23","12","300",125.7894
411,6,"23","28","1000",113.601
418,6,"16","4","300",157.9686
422,2,"20","6","100",61.7502
423,4,"22","10","700",83.085
424,4,"32","2","300",38.2104
426,3,"18","24","400",83.376
434,5,"23","10","500",119.5992
435,5,"19","10","700",129.9594
436,3,"18","12","450",78.825
438,5,"16","12","600",81.711
439,3,"25","20","800",76.5426
442,4,"19","6","50",88.1628
443,5,"29","20","1000",134.2992
444,3,"22","12","100",66.8676
449,3,"21","2","50",37.2018
454,6,"24","24","400",207.8286
455,6,"17","4","720",203.2488
457,5,"21","8","650",169.3164
458,5,"19","10","400",172.4688
464,4,"20","6","1000",96.756
466,6,"22","16","500",297.0672
473,6,"17","10","500",109.6176
475,4,"19","6","200",62.1042
476,6,"19","56","1500",151.9794
480,6,"19","12","800",133.884
490,4,"20","24","233",69.1764
497,6,"27","12","416",149.094
506,5,"26","12","200",111.342
508,6,"25","4","800",87.2346
509,6,"20","24","500",135.414
511,4,"18","16","600",125.832
512,3,"27","6","120",58.6008
513,6,"24","42","1200",186.7284
514,4,"16","8","1000",79.2294
517,4,"32","20","1000",145.7052
519,4,"17","16","150",115.536
523,6,"17","56","1825",165.321
525,5,"17","10","780",174.2208
526,4,"16","12","350",129.5088
527,3,"23","4","400",156.9822
529,4,"17","36","1260",82.5732
531,6,"18","14","500",135.3252
532,1,"22","20","315",54.0792
535,4,"19","24","200",85.0974
536,5,"22","10","500",67.1406
540,6,"24","18","750",157.167
542,4,"19","8","480",156.2238
545,5,"25","10","700",127.887
546,4,"23","20","300",94.2774
547,3,"16","56","1260",114.2112
557,4,"18","12","2000",133.3434
560,5,"17","14","600",99.5436
568,5,"20","10","600",114.8658
569,3,"32","20","250",76.0464
570,4,"21","4","500",86.7318
572,5,"28","20","600",91.3278
576,5,"23","4","200",100.4274
578,5,"25","8","600",99.8568
581,5,"21","8","800",120.9714
584,2,"24","12","10",44.5248
585,5,"28","8","312",131.097
588,4,"17","18","430",129.3624
590,1,"19","16","730",60.4956
591,4,"17","8","400",87.531
600,1,"17","12","300",89.031
601,3,"25","8","110",133.6512
604,3,"21","10","200",68.1486
607,4,"22","24","1000",55.077
608,6,"18","42","1700",70.7214
609,6,"16","14","1000",165.0564
611,6,"21","42","1260",143.7696
614,5,"24","12","700",99.5442
616,5,"20","24","600",125.8662
621,3,"16","20","450",124.5054
623,5,"18","28","1200",136.485
626,5,"24","10","200",148.0326
628,2,"18","12","500",89.5368
629,5,"37","14","800",327.7218
630,3,"19","10","300",121.377
631,6,"21","16","600",187.4826
632,5,"18","10","1000",141.735
633,3,"16","8","92",100.3074
636,5,"16","8","800",118.9332
637,6,"19","10","900",158.868
638,6,"19","20","2500",125.118
643,6,"22","28","1000",93.741
645,2,"21","16","500",101.6526
649,6,"19","20","1400",172.1688
650,3,"27","10","220",84.8274
651,2,"29","4","100",86.5122
652,3,"17","8","730",114.2478
654,3,"26","8","730",93.5688
655,5,"18","28","700",128.9046
656,5,"25","12","800",138.1902
664,5,"28","8","500",72.816
666,5,"21","28","800",85.395
672,2,"23","8","400",114.7236
674,4,"23","8","400",141.6378
680,6,"16","28","1000",197.7714
681,3,"28","12","500",48.0486
683,4,"20","28","999",110.1012
685,4,"19","8","500",125.103
689,2,"22","14","700",34.9278
691,4,"20","12","200",73.5696
692,2,"18","8","400",87.5064
694,2,"18","28","250",73.02
699,1,"21","10","150",86.2812
701,2,"19","20","120",119.073
703,3,"23","16","500",99.9318
704,6,"25","56","2500",160.971
705,5,"17","8","100",167.6424
710,6,"22","28","500",124.5138
711,5,"17","96","900",145.806
712,4,"20","8","600",130.1964
713,3,"20","20","500",133.8408
716,4,"19","10","600",64.7592
720,5,"21","16","1000",105.6162
722,5,"20","42","550",175.92
723,5,"20","2","150",107.1972
724,3,"23","24","700",76.1916
730,6,"22","30","1000",132.111
731,1,"35","12","250",33.6204
732,3,"20","10","300",55.4748
735,2,"18","20","500",96.3384
736,3,"18","28","450",137.964
739,5,"18","8","720",99.8766
746,5,"18","20","700",105.147
747,5,"22","12","700",89.2788
750,6,"23","28","450",105.6042
751,4,"24","24","303",72.069
754,2,"20","10","50",43.3884
756,6,"23","28","1200",111.759
758,2,"23","12","100",45.3894
759,5,"19","30","1825",147.1572
760,4,"26","12","500",82.9908
762,4,"18","10","600",58.947
765,3,"23","8","96",82.458
766,1,"22","10","30",43.779
771,1,"20","4","250",44.0304
774,3,"21","10","350",95.8032
776,2,"21","18","200",77.3832
779,1,"28","6","100",68.214
780,3,"19","28","100",86.1144
781,5,"24","8","800",180.282
784,4,"16","10","360",156.0678
787,5,"18","28","600",139.9266
788,6,"20","12","250",169.0608
789,4,"16","12","450",119.1558
790,4,"24","4","300",100.5552
792,3,"17","8","120",69.5898
793,2,"21","10","150",73.6266
796,6,"23","28","1260",240.7638
797,5,"26","16","250",100.3596
798,5,"24","20","700",148.9158
799,4,"17","20","500",61.8882
813,6,"24","20","1000",94.0662
816,2,"16","6","450",97.482
818,4,"20","30","700",91.1646
819,2,"18","24","300",65.8302
822,3,"23","6","650",93.6108
824,4,"16","16","184",113.9904
833,3,"23","16","300",125.7312
834,6,"22","10","600",151.8984
836,5,"23","14","800",104.3874
837,4,"19","28","4000",194.1858
841,4,"20","8","400",109.968
842,6,"18","12","420",193.3734
843,3,"22","20","300",63.7248
849,6,"20","6","800",116.1894
851,4,"22","10","350",130.2162
865,4,"21","12","350",69.9006
866,3,"20","6","1000",61.467
872,5,"25","28","1300",132.0822
874,4,"27","4","50",46.7628
875,5,"25","4","300",94.7148
877,5,"18","24","700",91.3014
883,2,"17","16","400",79.2378
887,5,"21","6","500",85.7514
888,5,"19","20","730",161.0184
891,2,"18","8","220",89.8518
892,6,"21","28","1100",118.8882
893,4,"22","12","400",100.1172
898,6,"16","12","1000",149.8014
900,2,"22","30","700",82.9572
901,2,"22","12","60",105.9774
902,3,"27","28","300",102.8652
905,3,"25","8","700",78.8676
910,3,"19","6","100",101.598
912,3,"23","30","400",97.1082
915,3,"18","20","500",119.8566
921,4,"19","2","10",55.9674
928,4,"18","10","700",48.5016
931,5,"24","12","350",105.0174
941,5,"20","8","450",102.8466
942,4,"24","8","250",80.088
953,7,"25","42","2400",182.6208
958,3,"18","6","180",90.2904
961,4,"16","14","730",111.753
966,4,"22","10","1000",87.9012
967,6,"24","30","2160",192.9342
970,6,"19","10","350",104.1918
974,3,"17","20","80",48.8586
975,3,"19","14","900",91.0182
979,2,"16","10","10",32.673
981,5,"22","20","1260",132.1734
987,4,"19","6","200",90.2976
993,5,"21","16","300",115.2306
995,3,"22","12","25",90.6156
997,4,"20","24","800",116.7888
998,4,"20","10","700",99.3978
1000,6,"17","16","624",138.3468
1004,4,"20","28","700",57.0798
1008,4,"23","36","2000",98.4858
1009,5,"20","40","5000",84.7086
1010,6,"18","24","650",188.862
1013,1,"28","8","176",69.1182
1016,1,"24","16","60",25.6062
1021,5,"19","2","400",117.1998
1023,4,"20","4","500",84.9
1025,3,"26","6","300",56.1744
1029,2,"21","8","100",84.2382
1030,2,"25","12","400",105.8694
1031,2,"25","10","1000",51.0624
1032,4,"28","16","300",40.4076
1033,2,"19","8","300",66.093
1034,5,"31","4","750",205.3416
1043,3,"16","10","200",76.6992
1047,4,"24","14","450",98.0592
1053,3,"26","24","120",85.4424
1055,4,"17","8","1000",99.5586
1061,4,"20","8","200",115.488
1062,4,"26","2","300",81.336
1063,4,"25","2","80",90.867
1070,5,"18","24","1200",95.6406
1071,2,"22","8","35",68.9142
1074,1,"22","16","400",38.3274
1076,5,"24","8","400",129.7716
1077,5,"24","16","1163",119.6022
1083,2,"23","10","600",50.6784
1091,3,"18","20","300",62.0088
1093,2,"18","20","450",84.024
1094,3,"18","24","200",52.3524
1096,7,"19","56","1700",130.86
1105,6,"20","42","2500",86.5962
1106,5,"24","4","200",122.8368
1107,4,"28","20","730",83.6676
1108,4,"33","8","800",58.7574
1110,4,"18","10","333",75.3276
1111,4,"21","6","300",74.2986
1118,4,"20","8","650",72.4332
1124,4,"18","18","600",77.5416
1125,6,"17","42","1000",121.2732
1127,2,"19","6","75",57.7854
1128,1,"18","14","100",50.1
1132,3,"18","12","700",64.77
1133,5,"18","28","730",113.8716
1137,4,"22","6","450",69.2034
1141,1,"19","10","50",61.6098
1143,4,"20","20","100",89.091
1150,3,"26","14","1000",77.913
1154,3,"20","20","800",66.8904
1156,2,"16","42","650",76.1514
1159,2,"23","2","100",57.9072
1164,6,"19","28","700",116.7852
1167,4,"21","16","450",132.7152
1168,6,"22","6","250",123.8388
1169,4,"20","24","450",151.6686
1172,3,"18","28","800",133.4148
1173,1,"26","8","50",31.33314
1174,5,"16","24","1400",116.4402
1175,4,"23","16","400",117.417
1178,2,"27","8","200",94.0176
1179,6,"21","4","800",168.3252
1182,4,"18","28","700",79.5828
1193,3,"22","6","250",84.7632
1196,5,"16","6","650",99.9996
1207,4,"16","2","7",111.3582
1208,4,"22","20","500",160.8168
1210,4,"27","6","350",80.334
1211,6,"21","14","700",135.975
1212,2,"35","8","500",54.0468
1216,7,"23","24","1400",203.9028
1221,6,"18","6","300",88.0428
1228,1,"26","4","230",68.1048
1230,2,"17","16","250",50.0004
1232,3,"18","2","500",61.7034
1233,2,"17","20","200",68.1786
1235,3,"18","6","40",72.9252
1237,3,"19","20","1000",61.875
1238,3,"33","6","365",51.1932
1240,3,"20","24","325",137.3052
1241,6,"17","6","60",167.1966
1247,1,"18","42","600",41.037
1248,4,"26","6","200",97.2954
1249,6,"17","20","800",138.2802
1253,3,"19","28","480",120.9294
1255,3,"19","56","2500",119.9976
1256,5,"28","16","700",110.4828
1259,6,"23","10","800",166.4136
1262,6,"17","14","750",167.8746
1264,4,"16","4","300",101.9502
1265,3,"26","8","100",67.2912
1273,5,"17","42","1600",90.0642
1274,5,"17","24","800",149.7966
1275,2,"18","8","90",122.1162
1277,6,"21","20","1000",156.1536
1279,3,"26","2","500",51.363
1281,5,"21","42","700",93.3894
1285,6,"20","20","2000",190.5678
1286,6,"19","10","700",176.64
1289,4,"22","12","600",130.0248
1291,4,"16","8","190",105.4776
1292,3,"23","4","200",92.88
1293,6,"22","16","700",96.2154
1298,1,"17","70","400",82.0902
1299,4,"21","8","30",52.3392
1301,2,"32","6","150",49.3854
1302,4,"19","16","900",96.2466
1309,6,"18","28","700",142.3296
1310,4,"21","10","150",126.1386
1312,2,"24","6","300",71.9574
1314,2,"30","4","500",59.1138
1318,4,"21","6","175",73.0668
1319,4,"28","12","900",52.311
1325,4,"27","8","250",109.821
1333,6,"19","28","800",161.4678
1335,2,"23","6","75",49.9362
1336,5,"20","4","500",139.5132
1337,4,"23","8","200",85.7502
1338,1,"22","6","700",43.3638
1339,3,"22","24","800",91.4178
1340,4,"19","6","88",156.1278
1341,5,"16","14","500",109.5582
1344,5,"29","6","1000",99.1416
1346,5,"22","18","500",114.2598
1347,1,"28","4","40",53.55
1348,6,"20","12","700",102.0174
1351,4,"19","10","200",133.911
1352,6,"18","28","1000",286.5528
1356,5,"22","6","600",143.718
1358,6,"17","36","900",131.8242
1361,5,"19","4","350",168.9216
1364,4,"21","16","60",66.8184
1365,2,"19","24","450",58.6338
1366,1,"20","14","200",96.7374
1369,2,"16","28","200",46.1016
1375,3,"16","24","730",101.6082
1379,5,"22","28","250",124.026
1380,2,"21","10","400",68.6868
1382,3,"22","10","600",71.2914
1383,6,"19","20","800",112.5
1389,2,"16","10","100",39.3804
1390,5,"20","24","900",148.6884
1392,2,"40","14","500",51.8358
1397,3,"23","4","50",97.3866
1399,5,"21","28","750",126.4902
1402,5,"21","12","730",104.3202
1403,5,"18","14","365",143.574
1408,3,"19","42","450",220.0692
1411,6,"21","16","800",199.6008
1413,3,"20","10","100",45.5952
1414,5,"18","8","250",89.5218
1416,4,"17","20","1200",105.9162
1417,4,"20","20","650",102.7356
1422,5,"20","8","700",104.3286
1427,5,"23","12","730",118.1706
1430,4,"23","12","850",115.5006
1431,4,"18","14","400",186.3234
1433,2,"18","8","26",94.5504
1436,5,"24","24","500",102.5556
1439,6,"22","24","1650",113.8248
1447,1,"20","28","200",72.591
1454,4,"18","20","2000",191.3154
1455,5,"21","20","500",154.0044
1463,7,"17","56","1600",202.0026
1464,6,"22","8","1200",74.3238
1468,5,"20","10","500",140.001
1469,1,"22","16","200",55.203
1476,6,"23","16","450",115.5252
1477,3,"22","20","150",69.0534
1478,2,"17","12","500",88.986
1479,4,"22","20","400",167.4162
1482,4,"20","14","700",156.1176
1484,5,"22","16","250",118.9908
1486,4,"23","30","2500",127.695
1488,3,"25","10","400",75.2358
1491,3,"22","6","40",121.6998
1493,6,"26","24","800",129.5334
1495,2,"22","4","350",84.2604
1496,5,"24","16","250",111.4068
1498,4,"19","12","700",106.524
1502,4,"18","8","50",74.8782
1506,5,"17","28","1000",158.7498
1514,6,"19","42","2500",147.96
1518,5,"18","12","465",130.0014
1520,5,"17","10","350",165.4494
1521,3,"20","10","300",123.8316
1525,6,"17","42","1000",106.5678
1526,5,"31","8","300",110.193
1530,4,"16","14","400",92.1222
1534,4,"17","6","180",93.792
1535,4,"23","10","300",139.1526
1537,6,"23","2","600",98.8476
1541,6,"21","10","600",114.384
1542,4,"20","10","500",124.6932
1543,4,"20","12","500",111.9798
1545,6,"16","20","450",187.2972
1551,5,"19","10","400",124.7598
1552,4,"17","10","730",101.8224
1553,5,"16","14","100",139.8594
1555,6,"19","16","365",208.7706
1559,6,"18","20","800",277.3212
1562,6,"20","20","1000",149.13
1563,5,"23","10","600",122.157
1564,4,"19","6","150",130.0584
1565,5,"22","8","500",120.0012
1566,4,"20","24","600",86.2686
1568,5,"21","6","200",143.6058
1575,3,"16","12","650",131.919
1576,5,"21","20","1200",126
1578,4,"22","12","600",190.3122
1580,1,"19","8","300",104.4486
1582,2,"24","6","235",90.0018
1583,5,"19","20","600",142.251
1588,3,"17","10","150",72.1848
1589,4,"21","10","400",94.6278
1591,6,"24","14","700",134.7282
1595,3,"24","6","400",62.2626
1599,4,"19","12","500",97.8444
1603,1,"16","12","100",61.5984
1604,1,"25","24","300",43.4706
1605,5,"20","10","500",182.1372
1606,5,"21","20","600",89.0472
1607,3,"23","6","300",99.9426
1609,4,"17","28","450",141.6522
1611,2,"20","10","75",127.8924
1615,4,"16","20","800",74.8812
1616,6,"24","24","400",138.8046
1620,3,"18","4","200",81.708
1621,4,"18","8","500",116.0994
1623,5,"21","10","730",138.0774
1624,3,"28","42","1260",84.666
1626,3,"16","28","450",109.6626
1629,5,"23","14","730",91.4838
1634,1,"18","4","50",82.6356
1640,4,"16","24","600",107.0124
1642,5,"26","10","500",154.9242
1648,1,"21","20","600",44.1438
1649,6,"22","10","730",86.3388
1653,5,"20","8","700",127.1574
1655,6,"20","30","1500",89.358
1661,4,"21","10","1000",100.4556
1663,6,"20","6","730",130.2762
1664,5,"18","24","800",91.8804
1665,6,"17","24","1000",150.7794
1666,4,"22","8","300",70.4238
1673,4,"25","10","1200",76.3374
1676,3,"24","4","150",60.7368
1679,1,"16","8","30",54.4656
1681,6,"21","8","400",169.98
1686,5,"18","2","350",121.4862
1688,3,"25","10","50",163.2084
1692,3,"21","12","500",68.1282
1696,6,"20","28","800",104.4786
1701,4,"17","4","250",83.49
1704,5,"17","12","900",86.4228
1705,5,"24","30","1260",142.212
1709,4,"19","6","500",98.3154
1712,5,"28","6","400",102.399
1713,2,"16","10","150",77.9862
1714,2,"24","16","500",64.8324
1719,1,"34","12","150",49.1136
1731,4,"19","36","1350",73.8144
1733,5,"17","28","460",171.2124
1734,4,"25","4","200",104.9742
1742,5,"18","14","600",81.147
1745,4,"18","28","650",67.3962
1748,4,"22","4","150",74.4648
1751,4,"23","14","200",111.2958
1752,5,"22","24","500",135.8904
1753,3,"26","2","200",57.9156
1754,4,"17","16","80",118.8174
1755,4,"19","10","200",104.9094
1756,6,"18","42","1000",145.98
1757,4,"29","20","250",155.5602
1758,6,"18","16","1000",169.8456
1763,4,"18","12","350",122.8446
1767,3,"17","8","350",87.5772
1768,6,"22","6","730",150.627
1769,5,"20","24","360",175.5354
1770,3,"18","10","160",54.1056
1771,5,"22","20","650",108.2772
1774,2,"18","12","700",133.2816
1775,5,"20","6","350",110.7558
1780,5,"18","18","800",144.9648
1781,6,"27","6","1500",90.93
1782,5,"19","16","500",122.667
1784,4,"21","8","200",86.139
1789,6,"22","28","1260",88.3788
1793,4,"18","14","730",166.299
1796,3,"22","4","300",90.4908
1799,5,"22","10","1400",92.8662
1807,4,"25","10","500",73.6464
1809,2,"28","2","120",66.9018
1810,3,"38","16","730",97.992
1811,4,"23","6","400",86.7768
1814,2,"34","8","400",35.3136
1816,3,"26","6","400",56.5494
1817,5,"23","2","100",69.303
1820,2,"16","12","120",64.3296
1822,3,"16","14","730",84.624
1824,6,"21","10","800",152.8692
1825,1,"16","8","70",45.2916
1826,1,"27","2","250",37.7802
1830,1,"16","10","200",92.2266
1839,3,"24","8","700",81.03
1848,3,"22","12","700",103.506
1850,5,"24","10","300",90.7506
1852,1,"28","8","120",44.2218
1855,4,"24","16","700",123.576
1858,6,"21","28","500",168.9336
1860,4,"27","16","1000",131.061
1861,6,"19","36","1800",130.1214
1862,2,"20","4","50",94.2618
1863,5,"18","24","730",131.9376
1864,6,"18","16","350",151.8066
1865,5,"25","10","730",125.532
1866,5,"35","12","800",115.0644
1875,5,"22","6","500",104.5386
1876,2,"20","20","220",74.5098
1885,4,"22","12","300",149.7372
1886,3,"23","50","700",53.2722
1890,2,"29","6","200",96.3924
1901,5,"19","8","500",78.8736
1902,1,"17","14","100",73.7232
1905,3,"16","8","200",116.4156
1913,2,"21","6","848",75.5562
1914,4,"21","12","200",127.9884
1915,5,"22","10","500",155.2386
1917,6,"18","10","700",151.977
1920,5,"16","20","1000",130.4004
1921,3,"17","28","300",112.8102
1924,5,"20","14","1000",96.897
1925,4,"18","42","730",67.0164
1926,3,"24","16","256",69.3924
1927,5,"18","10","730",135.7326
1930,3,"17","8","400",94.158
1937,5,"21","20","750",122.232
1939,5,"19","10","325",132.2094
1944,4,"19","8","250",66.9858
1947,6,"22","24","1250",121.7802
1949,6,"20","6","650",101.0706
1953,3,"16","14","600",102.4686
1959,3,"16","12","300",122.2992
1966,2,"21","18","500",46.4196
1969,3,"20","12","500",52.2006
1972,4,"22","12","130",111.9282
1974,4,"16","14","600",138.6918
1979,6,"17","8","500",197.013
1982,2,"25","8","30",57.2274
1983,4,"18","12","350",108.2124
1988,7,"18","24","500",172.3362
1991,5,"21","8","200",121.26
1995,5,"24","6","700",132.4146
2000,6,"16","168","1260",233.3058
2001,5,"19","36","1500",133.8234
2012,2,"21","4","180",64.2906
2013,1,"20","20","900",100.518
2014,5,"21","30","1500",68.2158
2020,5,"18","16","900",108.3132
2023,5,"25","2","300",144.3894
2024,4,"17","20","250",51.6072
2029,7,"19","28","1466",234.7176
2034,6,"22","20","750",99.072
2039,4,"17","12","100",103.503
2040,5,"21","12","1000",123.204
2043,5,"23","20","700",133.4292
2044,4,"22","14","400",125.4498
2045,4,"20","6","200",78.7764
2048,4,"19","28","540",194.3676
2050,5,"27","10","500",175.0146
2051,1,"16","6","670",56.6298
2055,5,"18","28","711",145.8528
2058,5,"24","8","300",128.0394
2068,2,"16","14","100",79.5906
2070,6,"21","10","700",138.2934
2071,4,"16","70","2500",105.456
2076,7,"23","56","2400",136.2432
2077,3,"24","10","400",55.9452
2079,4,"28","12","600",147.8922
2082,4,"20","48","1030",83.0166
2089,5,"23","8","300",173.355
2090,4,"29","12","600",120.2772
2091,4,"20","2","50",66.9522
2092,6,"18","10","300",106.02
2095,1,"38","16","300",71.595
2099,3,"19","24","350",115.3236
2101,4,"23","12","730",133.4454
2105,3,"18","10","300",85.578
2109,5,"25","6","250",135.474
2110,5,"21","10","350",112.6914
2123,3,"22","28","800",89.5602
2125,3,"30","8","800",62.259
2128,5,"16","20","1080",211.9662
2129,3,"27","14","300",106.695
2130,6,"28","28","800",127.2792
2138,2,"19","12","730",64.1664
2142,4,"35","10","400",92.736
2143,6,"16","28","730",389.8314
2146,3,"17","16","400",131.4708
2147,5,"19","8","900",117.2712
2153,2,"18","6","180",74.733
2159,3,"23","2","200",83.748
2161,6,"18","20","800",229.8018
2162,4,"20","20","500",123.9924
2166,4,"22","12","300",90.183
2170,4,"19","20","550",159.2346
2175,5,"17","8","600",144.969
2176,5,"21","20","1000",106.4364
2178,1,"16","20","500",55.8648
2182,5,"25","8","600",109.023
2183,6,"21","12","700",178.8606
2184,5,"23","24","1460",141.6744
2186,4,"20","50","600",109.3722
2188,7,"19","56","500",129.9048
2191,2,"24","16","100",79.9734
2195,5,"21","16","1100",93.4458
2198,6,"20","56","1050",144.381
2199,5,"17","24","800",133.29
2209,4,"21","30","400",161.3964
2211,6,"20","10","350",118.7484
2212,2,"17","70","1000",87.9894
2214,6,"16","28","700",229.2942
2220,3,"22","24","700",84.9726
2221,2,"23","6","600",54.366
2224,5,"20","4","400",113.613
2226,4,"21","12","400",162.0864
2228,2,"22","10","80",51.1098
2229,2,"19","12","600",60.426
2231,1,"26","2","100",48.4494
2232,4,"18","16","800",106.2804
2233,3,"17","8","540",152.7588
2237,2,"30","8","600",72.9954
2241,4,"35","20","800",53.6736
2246,5,"22","16","20000",248.049
2247,5,"23","16","150",133.6044
2249,3,"22","8","600",141.075
2250,6,"18","20","500",127.6164
2253,2,"27","8","50",84.489
2257,5,"18","28","600",136.7316
2261,5,"16","28","300",89.748
2263,4,"22","12","600",141.018
2264,6,"16","20","780",124.6896
2271,3,"28","4","450",45.1164
2276,4,"19","8","400",70.9998
2278,6,"22","36","2000",257.811
2279,5,"27","16","300",165.6168
2280,5,"16","24","730",184.503
2284,2,"19","30","200",56.8998
2291,5,"16","28","582",193.5834
2297,5,"24","6","750",155.0778
2299,5,"17","42","300",93.6078
2306,5,"21","8","400",67.869
2307,5,"22","42","2800",190.7448
2308,6,"22","42","1200",192.6966
2309,5,"29","28","900",99.1128
2310,5,"25","10","600",106.2276
2311,5,"22","14","350",87.9756
2314,2,"16","14","730",92.43
2317,4,"20","30","250",106.068
2319,5,"22","12","500",103.4364
2323,4,"20","2","500",136.6464
2327,3,"33","6","300",57.5424
2331,3,"27","12","500",100.7694
2332,3,"18","36","800",82.8966
2333,4,"19","16","300",103.629
2336,5,"22","28","1000",134.0784
2338,4,"17","12","400",114.2796
2341,4,"19","4","200",75.7914
2343,3,"18","10","500",104.1048
2345,4,"23","10","650",72.618
2346,6,"18","30","220",156.972
2348,5,"19","10","553",131.5122
2351,3,"17","12","670",106.9536
2352,5,"24","8","800",75.6648
2353,6,"22","20","1200",120.1206
2358,4,"26","12","1008",135.3366
2367,5,"21","2","200",65.238
2373,3,"21","8","600",96.3282
2374,4,"28","12","700",80.3766
2375,3,"23","20","140",97.4982
2380,5,"23","8","1000",133.2948
2384,6,"21","20","1500",170.7486
2391,4,"23","10","600",88.8612
2392,5,"20","6","450",155.5416
2393,6,"24","36","2000",165.2772
2395,5,"22","4","200",111.9126
2396,3,"25","4","330",66.7788
2397,4,"25","30","2200",93.9396
2398,4,"22","8","300",113.6742
2399,4,"31","8","730",67.8468
2402,6,"22","12","700",154.1286
2404,3,"20","8","100",78.525
2405,5,"25","6","300",107.7252
2406,5,"17","42","1800",149.19
2408,5,"17","14","1000",122.3022
2412,5,"19","12","500",91.7808
2417,5,"22","36","1200",99.9396
2421,4,"19","16","600",73.3116
2423,1,"35","14","50",32.8884
2424,5,"20","20","1000",175.2834
2430,6,"19","36","1500",184.6338
2433,4,"19","20","600",108.4356
2435,6,"19","28","900",168.96
2441,6,"18","20","650",124.7178
2442,2,"18","2","200",78.2244
